id_compra,dt_compra,cd_produto,qtde_vendida,vl_vendido,nm_cliente,perc_promocao
104,2024-06-06,1011,14,168.05,Eduardo Ribeiro,0.15
105,2024-01-23,1039,6,41.58,Eduardo Silva,0.1
106,2024-02-26,1026,9,208.6,Ana Lima,0.05
107,2024-05-06,1032,8,45.13,Gabriel Ferreira,0.05
108,2024-02-07,1026,11,68.37,Bruno Almeida,0.0
109,2024-02-23,1026,16,21.85,Helena Costa,0.05
110,2024-04-27,1038,17,166.98,Juliana Costa,0.15
111,2024-06-23,1038,15,122.41,Daniela Souza,0.05
112,2024-04-04,1037,15,196.3,Fernanda Souza,0.05
113,2024-06-07,1017,5,253.48,Daniela Almeida,0.1
114,2024-01-27,1015,18,229.65,Fernanda Souza,0.0
115,2024-02-22,1008,16,75.85,Igor Pereira,0.15
116,2024-03-21,1045,10,86.52,Juliana Pereira,0.05
117,2024-02-12,1047,15,57.99,Ana Ribeiro,0.1
118,2024-04-05,1029,16,132.72,Carlos Almeida,0.2
119,2024-04-25,1014,9,207.47,Ana Souza,0.1
120,2024-04-07,1020,18,122.65,Gabriel Ferreira,0.15
121,2024-05-30,1009,11,181.18,Gabriel Souza,0.2
122,2024-04-18,1003,6,168.89,Juliana Souza,0.05
123,2024-02-01,1021,12,269.39,Daniela Silva,0.0
124,2024-05-11,1000,17,217.04,Gabriel Lima,0.05
125,2024-01-10,1032,16,53.35,Carlos Lima,0.05
126,2024-01-19,1029,2,101.86,Igor Lima,0.05
127,2024-06-23,1041,15,26.82,Igor Costa,0.05
128,2024-06-14,1034,10,52.29,Helena Martins,0.1
129,2024-04-21,1018,8,213.55,Daniela Silva,0.2
130,2024-03-14,1038,8,38.28,Bruno Martins,0.05
131,2024-03-07,1045,12,264.05,Juliana Oliveira,0.05
132,2024-04-03,1035,6,187.36,Fernanda Souza,0.05
133,2024-01-20,1043,1,236.47,Helena Souza,0.05
134,2024-01-19,1004,14,57.97,Fernanda Costa,0.0
135,2024-03-20,1024,19,22.92,Carlos Almeida,0.2
136,2024-02-15,1031,17,51.28,Fernanda Costa,0.2
137,2024-04-23,1008,17,234.1,Juliana Lima,0.1
138,2024-02-29,1045,11,96.35,Igor Martins,0.2
139,2024-03-17,1043,18,186.73,Helena Ribeiro,0.1
140,2024-05-21,1049,1,256.77,Carlos Lima,0.15
141,2024-05-07,1029,3,142.94,Fernanda Martins,0.2
142,2024-02-21,1008,16,274.19,Carlos Lima,0.2
143,2024-06-18,1014,8,39.66,Bruno Almeida,0.15
144,2024-04-09,1017,2,157.71,Daniela Oliveira,0.05
145,2024-04-14,1001,6,210.95,Carlos Oliveira,0.15
146,2024-05-02,1018,17,193.13,Juliana Almeida,0.15
147,2024-01-28,1035,13,161.58,Helena Lima,0.0
148,2024-03-21,1015,1,78.17,Bruno Almeida,0.2
149,2024-03-14,1003,19,127.55,Igor Costa,0.1
150,2024-06-29,1048,15,291.39,Fernanda Martins,0.2
151,2024-03-29,1017,10,132.93,Helena Ferreira,0.05
152,2024-06-10,1021,7,185.11,Carlos Lima,0.2
153,2024-02-06,1009,12,23.3,Eduardo Almeida,0.2
154,2024-01-10,1021,7,28.9,Gabriel Almeida,0.2
155,2024-04-24,1030,11,90.5,Juliana Ferreira,0.05
156,2024-06-20,1006,6,288.18,Gabriel Ferreira,0.2
157,2024-06-16,1047,13,74.29,Daniela Oliveira,0.0
158,2024-03-28,1005,10,72.41,Daniela Lima,0.15
159,2024-03-24,1008,3,166.91,Fernanda Ribeiro,0.0
160,2024-04-30,1041,19,275.31,Ana Martins,0.0
161,2024-01-15,1050,8,289.88,Igor Martins,0.15
162,2024-06-13,1023,18,165.15,Helena Pereira,0.1
163,2024-05-21,1024,11,118.23,Eduardo Martins,0.05
164,2024-02-25,1013,8,289.43,Fernanda Almeida,0.0
165,2024-02-09,1046,11,181.5,Bruno Costa,0.15
166,2024-05-17,1005,3,299.85,Gabriel Ferreira,0.2
167,2024-01-24,1031,20,247.66,Igor Almeida,0.05
168,2024-06-21,1034,16,267.05,Eduardo Lima,0.0
169,2024-05-25,1021,1,292.23,Fernanda Ferreira,0.1
170,2024-03-30,1040,18,242.47,Juliana Ferreira,0.0
171,2024-04-27,1018,19,173.72,Gabriel Oliveira,0.05
172,2024-05-04,1017,13,210.88,Gabriel Lima,0.0
173,2024-04-06,1015,9,42.26,Igor Pereira,0.05
174,2024-01-27,1002,11,57.08,Carlos Costa,0.05
175,2024-01-10,1038,4,254.63,Igor Martins,0.0
176,2024-06-26,1034,2,30.72,Fernanda Martins,0.05
177,2024-02-16,1023,19,109.69,Daniela Almeida,0.1
178,2024-05-12,1013,20,259.38,Juliana Pereira,0.0
179,2024-04-02,1047,17,156.38,Helena Ferreira,0.15
180,2024-02-03,1011,18,237.96,Carlos Lima,0.2
181,2024-06-22,1034,3,281.14,Bruno Souza,0.15
182,2024-03-27,1040,15,199.63,Carlos Almeida,0.0
183,2024-01-09,1041,13,46.38,Daniela Silva,0.15
184,2024-01-06,1035,5,250.75,Gabriel Ferreira,0.15
185,2024-01-19,1039,5,274.46,Bruno Souza,0.0
186,2024-04-01,1026,10,132.86,Gabriel Pereira,0.15
187,2024-05-08,1004,7,81.45,Daniela Pereira,0.05
188,2024-02-13,1004,13,214.37,Eduardo Almeida,0.05
189,2024-04-15,1018,19,161.04,Bruno Silva,0.05
190,2024-02-03,1032,16,265.81,Helena Ribeiro,0.0
191,2024-05-13,1034,13,202.35,Bruno Almeida,0.15
192,2024-02-20,1042,10,116.35,Daniela Lima,0.1
193,2024-02-18,1007,16,296.75,Bruno Silva,0.1
194,2024-03-31,1022,12,12.29,Daniela Ferreira,0.1
195,2024-05-03,1012,9,289.74,Eduardo Almeida,0.2
196,2024-01-11,1006,20,15.89,Daniela Costa,0.15
197,2024-06-18,1031,1,64.66,Ana Ribeiro,0.1
198,2024-04-18,1021,2,66.48,Daniela Pereira,0.05
199,2024-01-13,1046,1,113.17,Ana Oliveira,0.2
200,2024-04-12,1041,15,170.68,Helena Costa,0.0
201,2024-03-21,1026,13,154.16,Daniela Almeida,0.0
202,2024-05-11,1029,15,230.58,Igor Souza,0.15
203,2024-05-19,1023,18,178.05,Gabriel Lima,0.0
204,2024-02-10,1030,8,91.76,Juliana Ferreira,0.1
205,2024-04-15,1022,12,117.87,Helena Oliveira,0.15
206,2024-04-21,1002,16,108.75,Gabriel Pereira,0.05
207,2024-05-05,1016,6,117.64,Daniela Costa,0.1
208,2024-06-26,1014,16,103.5,Fernanda Silva,0.1
209,2024-05-03,1031,19,229.32,Eduardo Silva,0.2
210,2024-03-31,1050,9,273.38,Juliana Ferreira,0.2
211,2024-04-18,1041,6,123.51,Fernanda Souza,0.1
212,2024-03-23,1015,20,228.85,Igor Costa,0.2
213,2024-06-23,1023,13,246.41,Helena Oliveira,0.0
214,2024-02-24,1026,4,144.19,Fernanda Ribeiro,0.2
215,2024-01-21,1006,17,45.36,Bruno Almeida,0.1
216,2024-06-21,1023,19,172.61,Juliana Souza,0.15
217,2024-05-19,1029,17,107.19,Daniela Souza,0.05
218,2024-03-25,1024,3,79.17,Helena Costa,0.15
219,2024-05-20,1008,6,11.78,Juliana Ferreira,0.0
220,2024-02-11,1027,9,299.47,Daniela Almeida,0.0
221,2024-06-19,1005,1,24.89,Bruno Costa,0.15
222,2024-04-23,1044,11,92.03,Juliana Souza,0.1
223,2024-06-01,1029,12,215.49,Ana Pereira,0.1
224,2024-06-26,1038,6,178.49,Ana Costa,0.15
225,2024-02-07,1043,3,149.89,Igor Costa,0.0
226,2024-04-18,1026,15,267.46,Igor Almeida,0.0
227,2024-06-24,1044,12,119.4,Igor Ribeiro,0.0
228,2024-03-06,1041,12,202.83,Fernanda Souza,0.0
229,2024-03-12,1034,13,212.3,Helena Souza,0.15
230,2024-01-21,1030,8,163.64,Fernanda Martins,0.05
231,2024-01-18,1025,12,238.14,Juliana Lima,0.0
232,2024-05-19,1022,3,207.85,Fernanda Ferreira,0.2
233,2024-06-29,1008,15,80.09,Helena Costa,0.1
234,2024-04-20,1045,19,185.17,Igor Martins,0.05
235,2024-01-31,1014,15,62.55,Carlos Martins,0.2
236,2024-01-15,1044,13,55.29,Carlos Souza,0.05
237,2024-05-08,1037,20,277.16,Fernanda Ferreira,0.0
238,2024-05-11,1022,17,108.12,Juliana Souza,0.0
239,2024-06-03,1016,6,298.98,Bruno Almeida,0.0
240,2024-01-07,1038,13,255.07,Ana Oliveira,0.1
241,2024-01-11,1001,20,126.61,Gabriel Oliveira,0.0
242,2024-06-06,1024,8,161.02,Fernanda Ferreira,0.2
243,2024-05-10,1000,16,187.73,Gabriel Pereira,0.05
244,2024-02-17,1013,7,120.58,Daniela Lima,0.05
245,2024-05-07,1041,18,164.98,Fernanda Ferreira,0.05
246,2024-02-03,1014,14,210.68,Carlos Martins,0.05
247,2024-06-24,1039,3,142.88,Igor Ribeiro,0.2
248,2024-05-19,1027,2,94.08,Juliana Ribeiro,0.0
249,2024-02-07,1003,13,120.85,Daniela Costa,0.0
250,2024-01-28,1023,19,60.46,Fernanda Costa,0.15
251,2024-03-10,1018,14,126.51,Helena Martins,0.2
252,2024-05-04,1029,2,25.09,Eduardo Martins,0.0
253,2024-01-04,1005,15,158.04,Helena Souza,0.05
254,2024-02-04,1025,13,190.22,Carlos Almeida,0.1
255,2024-03-01,1020,18,67.8,Daniela Souza,0.05
256,2024-04-05,1033,7,154.5,Juliana Martins,0.1
257,2024-05-04,1045,11,285.52,Fernanda Martins,0.2
258,2024-03-08,1041,1,187.88,Bruno Pereira,0.15
259,2024-03-12,1036,4,46.84,Igor Oliveira,0.1
260,2024-02-14,1033,19,116.44,Fernanda Almeida,0.2
261,2024-06-02,1009,10,80.94,Helena Pereira,0.1
262,2024-03-21,1026,18,55.52,Carlos Souza,0.1
263,2024-03-09,1014,19,111.34,Igor Pereira,0.05
264,2024-01-04,1026,7,228.92,Eduardo Almeida,0.1
265,2024-02-26,1025,2,138.18,Carlos Silva,0.2
266,2024-04-29,1035,2,250.35,Gabriel Martins,0.15
267,2024-02-03,1028,1,94.07,Daniela Costa,0.15
268,2024-01-19,1006,8,42.33,Igor Martins,0.2
269,2024-02-06,1049,19,260.57,Eduardo Silva,0.2
270,2024-04-26,1050,7,127.77,Ana Almeida,0.05
271,2024-01-21,1050,18,278.54,Carlos Lima,0.05
272,2024-02-08,1045,19,134.27,Eduardo Costa,0.05
273,2024-03-21,1038,13,211.57,Ana Ferreira,0.1
274,2024-02-22,1011,11,63.27,Fernanda Ribeiro,0.15
275,2024-03-19,1032,9,63.34,Fernanda Ferreira,0.1
276,2024-05-13,1025,15,165.79,Eduardo Ribeiro,0.05
277,2024-06-07,1048,4,297.89,Carlos Pereira,0.2
278,2024-02-11,1000,1,146.29,Bruno Pereira,0.2
279,2024-04-14,1045,19,124.31,Helena Ribeiro,0.15
280,2024-06-29,1023,12,31.91,Gabriel Souza,0.2
281,2024-06-22,1021,15,18.12,Ana Lima,0.15
282,2024-04-18,1039,18,245.68,Gabriel Pereira,0.15
283,2024-05-25,1029,12,15.42,Ana Souza,0.0
284,2024-01-25,1029,20,275.84,Eduardo Silva,0.2
285,2024-04-06,1038,11,255.62,Helena Ferreira,0.15
286,2024-01-13,1015,9,147.52,Gabriel Martins,0.0
287,2024-01-30,1039,18,115.63,Bruno Lima,0.05
288,2024-04-02,1010,15,136.64,Juliana Oliveira,0.2
289,2024-03-29,1034,16,221.9,Bruno Ferreira,0.1
290,2024-04-30,1037,10,279.58,Helena Costa,0.15
291,2024-02-05,1019,13,291.31,Fernanda Ferreira,0.05
292,2024-04-23,1042,10,193.12,Gabriel Oliveira,0.1
293,2024-04-02,1031,8,43.27,Igor Souza,0.2
294,2024-05-21,1046,5,291.52,Fernanda Oliveira,0.1
295,2024-06-29,1002,13,178.48,Daniela Pereira,0.0
296,2024-02-07,1022,4,238.02,Juliana Lima,0.2
297,2024-01-15,1002,2,84.89,Fernanda Oliveira,0.05
298,2024-01-30,1023,19,209.73,Ana Ferreira,0.05
299,2024-05-27,1048,14,125.75,Igor Martins,0.0
300,2024-02-26,1005,7,289.72,Juliana Costa,0.0
301,2024-02-15,1012,8,287.48,Eduardo Oliveira,0.1
302,2024-01-11,1035,15,161.01,Helena Ferreira,0.1
303,2024-05-24,1049,11,69.49,Carlos Almeida,0.05
304,2024-04-20,1003,7,16.72,Bruno Pereira,0.05
305,2024-04-28,1027,6,128.76,Daniela Lima,0.1
306,2024-01-17,1003,20,115.56,Igor Ferreira,0.0
307,2024-05-25,1049,16,36.15,Helena Silva,0.05
308,2024-04-26,1035,19,148.96,Ana Souza,0.2
309,2024-02-19,1039,11,236.36,Helena Pereira,0.05
310,2024-06-12,1036,5,290.52,Gabriel Ribeiro,0.0
311,2024-05-19,1022,18,279.21,Bruno Souza,0.1
312,2024-05-07,1048,9,228.91,Gabriel Silva,0.0
313,2024-03-13,1037,20,52.87,Helena Lima,0.0
314,2024-01-06,1000,1,50.44,Carlos Silva,0.2
315,2024-03-06,1049,16,200.3,Helena Ribeiro,0.05
316,2024-05-04,1035,14,148.38,Gabriel Costa,0.2
317,2024-03-21,1008,16,249.23,Ana Ribeiro,0.1
318,2024-06-21,1044,3,190.62,Igor Almeida,0.0
319,2024-06-15,1012,14,166.62,Ana Martins,0.2
320,2024-06-24,1029,19,135.31,Eduardo Souza,0.1
321,2024-03-09,1040,7,36.18,Fernanda Souza,0.0
322,2024-02-13,1033,18,206.59,Helena Ferreira,0.0
323,2024-03-11,1037,2,125.44,Ana Pereira,0.0
324,2024-06-20,1031,11,200.23,Gabriel Silva,0.15
325,2024-05-01,1010,4,85.93,Eduardo Martins,0.15
326,2024-01-20,1047,15,186.86,Ana Ferreira,0.05
327,2024-06-29,1009,10,174.91,Igor Silva,0.1
328,2024-04-05,1048,19,15.25,Gabriel Ferreira,0.15
329,2024-04-06,1006,14,231.53,Eduardo Lima,0.15
330,2024-02-03,1045,7,69.64,Ana Ribeiro,0.15
331,2024-06-05,1000,8,27.89,Fernanda Almeida,0.1
332,2024-01-09,1022,13,107.97,Ana Martins,0.15
333,2024-06-05,1005,15,183.32,Bruno Oliveira,0.05
334,2024-05-29,1014,16,208.42,Carlos Ribeiro,0.05
335,2024-02-01,1004,11,218.86,Fernanda Silva,0.15
336,2024-03-04,1037,19,188.73,Gabriel Pereira,0.15
337,2024-06-24,1029,18,70.0,Igor Ferreira,0.05
338,2024-04-08,1033,2,175.1,Ana Martins,0.05
339,2024-06-02,1001,16,10.38,Daniela Lima,0.15
340,2024-03-29,1006,19,109.29,Carlos Almeida,0.15
341,2024-03-25,1026,7,182.95,Fernanda Lima,0.1
342,2024-04-19,1047,11,205.52,Ana Ferreira,0.1
343,2024-02-23,1030,19,195.56,Bruno Oliveira,0.0
344,2024-04-14,1022,4,218.39,Juliana Martins,0.15
345,2024-01-12,1042,8,152.96,Gabriel Almeida,0.2
346,2024-03-22,1010,7,260.95,Igor Ferreira,0.0
347,2024-06-14,1019,18,65.12,Bruno Souza,0.2
348,2024-06-17,1023,7,191.32,Ana Ribeiro,0.15
349,2024-04-09,1037,3,145.84,Daniela Costa,0.2
350,2024-02-23,1038,11,87.73,Igor Pereira,0.0
351,2024-02-08,1023,3,115.32,Daniela Almeida,0.15
352,2024-04-30,1050,11,196.5,Eduardo Ribeiro,0.0
353,2024-01-24,1033,13,51.93,Gabriel Souza,0.0
354,2024-03-22,1022,13,33.94,Ana Lima,0.1
355,2024-06-23,1042,19,143.46,Bruno Martins,0.05
356,2024-03-05,1026,15,219.25,Daniela Silva,0.2
357,2024-02-14,1005,10,86.33,Gabriel Ferreira,0.15
358,2024-04-02,1018,4,160.19,Bruno Silva,0.0
359,2024-05-12,1047,10,188.06,Igor Ferreira,0.1
360,2024-01-05,1036,6,253.15,Carlos Ferreira,0.0
361,2024-05-10,1018,15,264.93,Carlos Almeida,0.05
362,2024-05-09,1007,15,175.18,Igor Oliveira,0.05
363,2024-06-07,1011,3,270.18,Igor Ribeiro,0.05
364,2024-05-05,1035,10,70.16,Juliana Lima,0.1
365,2024-04-07,1050,6,38.76,Fernanda Martins,0.0
366,2024-01-08,1049,1,252.01,Ana Ribeiro,0.2
367,2024-02-14,1037,17,72.21,Fernanda Souza,0.05
368,2024-06-08,1027,7,173.26,Daniela Ferreira,0.2
369,2024-04-10,1000,5,92.22,Gabriel Almeida,0.1
370,2024-01-15,1046,7,234.61,Ana Souza,0.15
371,2024-06-14,1038,13,294.03,Daniela Almeida,0.1
372,2024-03-18,1007,5,220.28,Carlos Ferreira,0.05
373,2024-01-07,1038,20,91.04,Helena Costa,0.1
374,2024-03-16,1030,4,178.62,Fernanda Almeida,0.1
375,2024-03-10,1019,6,12.92,Gabriel Martins,0.0
376,2024-04-17,1011,1,272.23,Juliana Ferreira,0.0
377,2024-04-06,1040,13,237.96,Gabriel Lima,0.0
378,2024-02-15,1009,12,266.62,Juliana Oliveira,0.2
379,2024-05-26,1043,1,236.99,Igor Almeida,0.2
380,2024-04-19,1026,14,189.52,Gabriel Lima,0.15
381,2024-05-18,1021,14,35.06,Gabriel Ribeiro,0.1
382,2024-02-12,1014,9,14.81,Juliana Silva,0.1
383,2024-06-07,1036,4,298.15,Gabriel Souza,0.1
384,2024-03-14,1003,6,284.52,Daniela Souza,0.15
385,2024-02-13,1049,14,204.94,Daniela Ribeiro,0.2
386,2024-06-01,1046,4,146.4,Juliana Martins,0.2
387,2024-02-10,1017,1,202.12,Daniela Almeida,0.15
388,2024-03-10,1050,3,29.96,Fernanda Almeida,0.2
389,2024-05-12,1016,17,298.2,Daniela Souza,0.15
390,2024-01-19,1003,17,148.03,Igor Costa,0.1
391,2024-01-14,1037,8,57.49,Eduardo Lima,0.15
392,2024-06-06,1012,4,147.58,Ana Silva,0.15
393,2024-03-13,1038,8,181.95,Bruno Souza,0.2
394,2024-03-22,1050,12,114.52,Bruno Pereira,0.05
395,2024-05-07,1025,1,26.78,Igor Ribeiro,0.05
396,2024-06-26,1003,12,130.64,Eduardo Martins,0.0
397,2024-01-16,1017,2,129.81,Juliana Silva,0.2
398,2024-01-21,1034,14,234.5,Gabriel Lima,0.1
399,2024-06-26,1036,13,237.82,Igor Silva,0.2
400,2024-05-19,1041,1,68.32,Ana Silva,0.15
401,2024-02-10,1001,9,299.71,Gabriel Oliveira,0.1
402,2024-01-17,1017,17,135.45,Daniela Silva,0.0
403,2024-02-06,1046,3,120.78,Eduardo Costa,0.0
404,2024-03-29,1005,19,236.34,Gabriel Costa,0.2
405,2024-04-07,1001,5,275.78,Carlos Ferreira,0.1
406,2024-03-14,1011,13,128.49,Daniela Oliveira,0.2
407,2024-05-16,1043,9,110.64,Helena Almeida,0.1
408,2024-03-12,1027,14,264.63,Gabriel Ribeiro,0.2
409,2024-03-08,1050,11,92.51,Igor Costa,0.05
410,2024-01-07,1042,4,297.04,Carlos Almeida,0.1
411,2024-05-07,1047,11,85.24,Juliana Silva,0.2
412,2024-06-08,1043,19,269.15,Daniela Souza,0.1
413,2024-01-13,1032,5,125.26,Bruno Souza,0.0
414,2024-04-11,1005,12,147.16,Igor Silva,0.0
415,2024-06-21,1044,4,85.86,Bruno Almeida,0.2
416,2024-05-11,1033,2,131.8,Ana Ferreira,0.15
417,2024-01-16,1034,18,272.91,Eduardo Ribeiro,0.1
418,2024-03-25,1013,17,30.53,Fernanda Martins,0.0
419,2024-02-20,1017,15,229.02,Gabriel Lima,0.1
420,2024-05-16,1031,9,230.9,Igor Martins,0.15
421,2024-03-11,1050,16,216.92,Juliana Ferreira,0.15
422,2024-03-08,1018,5,25.75,Carlos Silva,0.15
423,2024-05-13,1008,8,56.66,Fernanda Silva,0.2
424,2024-02-16,1043,19,99.65,Gabriel Pereira,0.2
425,2024-01-26,1024,20,278.36,Gabriel Souza,0.2
426,2024-06-05,1008,5,94.39,Ana Oliveira,0.05
427,2024-05-30,1030,5,236.3,Gabriel Ferreira,0.1
428,2024-06-22,1012,16,270.17,Daniela Costa,0.1
429,2024-05-28,1023,8,13.95,Eduardo Souza,0.0
430,2024-04-18,1040,4,233.62,Carlos Ferreira,0.05
431,2024-04-14,1031,13,176.9,Juliana Silva,0.2
432,2024-01-15,1010,4,261.12,Eduardo Martins,0.1
433,2024-04-15,1017,11,255.01,Eduardo Oliveira,0.0
434,2024-04-28,1044,8,248.02,Helena Pereira,0.05
435,2024-01-23,1047,11,219.47,Juliana Martins,0.05
436,2024-04-07,1037,2,234.73,Igor Souza,0.2
437,2024-04-11,1013,2,156.32,Juliana Costa,0.05
438,2024-05-28,1000,4,118.09,Daniela Lima,0.15
439,2024-05-29,1013,16,284.21,Eduardo Ribeiro,0.2
440,2024-01-29,1004,4,294.37,Daniela Ribeiro,0.0
441,2024-04-02,1007,18,113.77,Ana Souza,0.1
442,2024-06-17,1009,2,234.96,Daniela Souza,0.2
443,2024-03-27,1038,1,143.65,Igor Silva,0.15
444,2024-01-15,1020,7,226.19,Juliana Souza,0.15
445,2024-03-16,1008,18,185.11,Bruno Silva,0.1
446,2024-02-22,1029,9,214.79,Ana Martins,0.05
447,2024-04-21,1028,17,241.37,Carlos Souza,0.1
448,2024-02-17,1000,6,98.97,Ana Martins,0.2
449,2024-01-13,1000,10,116.46,Carlos Almeida,0.15
450,2024-04-22,1023,17,216.75,Gabriel Lima,0.0
